Cars,Battery Capacity (kWh),Range (miles),Charging Speed (miles/min)
Volkswagen ID.3 (Pro),58,269,9.3
Volkswagen ID.3 (Pro S),58,356,13.1
Volkswagen ID.4 (Pure Life),52,223,7.9
Volkswagen ID.4 (Pro Life),77,326,9.5
Volkswagen ID.4 (Pro Performance Life),77,325,9.5
Volkswagen ID.4 (Pro Performance Style),77,322,9.4
Volkswagen ID.4 (Pro Style),77,322,9.4
Volkswagen ID.4 (Pro Performance 4MOTION),77,314,9.2
Volkswagen ID.4 (Pure Performance Life),52,223,7.9
Volkswagen ID.4 (Pure Style),52,221,7.8
Volkswagen ID.4 (GTX),77,306,8.9
Volkswagen ID.5 (Pro Performance Style),77,326,9.5
Volkswagen ID.5 (Pro Tech),77,323,9.4
Volkswagen ID.5 (GTX 4MOTION),77,313,11.5
Volkswagen ID.Buzz,77,252,9.3
Toyota bZ4X (Pure),71.4,271,9.5
Toyota bZ4X (Motion),71.4,271,9.5
Toyota bZ4X (Vision),71.4,271,9.5
Toyota bZ4X (Motion 160 kW),71.4,255,9.5
Toyota bZ4X (Vision 160 kW),71.4,255,8.9
Volvo EC40 (Twin Motor),82,263,10.7
Volvo EC40 (Single Motor),69,254,8
Audi e-tron (GT),83.7,285,13.7
Audi e-tron (RS),83.7,278,13.4
Audi Q4 e-tron (40),82,278,7.6
Audi Q4 e-tron (50),82,270,7.4
Audi Q4 Sportback e-tron (40),82,277,7.6
Audi Q4 Sportback e-tron (50),82,277,7.6
Audi Q8 e-tron,95,255,6.7
Audi Q8 Sportback e-tron,114,303,7.5
Tesla Model Y (Long Range AWD),85,331,16.2
Tesla Model Y (Performance),85,319,15.6
Tesla Model Y,85,283,12.8
BMW i4 M50,81.1,284,11.6
BMW i4 eDrive35 (M Sport),67,276,11.8
BMW i4 eDrive35 (Sport),67,284,12.1
BMW i4 eDrive40 (M Sport),81.1,337,13.7
BMW i4 eDrive40 (Sport),81.1,346,14.1
BMW i7 xDrive60 (M Sport Pro),105.7,367,11.3
BMW i7 xDrive60 (Excellence),105.7,360,11.1
BMW i7 xDrive60 (Excellence Pro),105.7,360,11.1
BMW iX xDrive40,76.6,253,8.3
BMW iX xDrive50 M Sport,111.5,367,10.7
BMW iX M60,111.5,338,9.9
BMW iX xDrive40 M Sport,76.6,253,8.3
BMW iX1,66.5,259,8.4
BMW iX3 (M Sport Pro),80,280,8.8
